电影名称,年份,上映时间,电影类型,电影时长,评分,语言,制作组,简介
自己去看,(1985),1985-07-09 (SU),剧情、战争,2h 16m,82,俄语,"{'埃莱姆·克利莫夫': 'Director, Screenplay', '阿莱斯·阿达莫维奇': 'Screenplay'}",这是一部很特殊的战争题材电影，它真实地描写了德占区人民的悲惨遭遇和场面，以及人们面对突如其来的灾难的恐惧，反映了战争的真实面目。它既不同于《斯大林格勒保卫战》、《攻占柏林》这些正面战场的血肉横飞、排山倒海、摧枯拉朽，也不同与《这里的黎明静悄悄》、《星》所描写的局部战斗中体现的平凡悲壮，更不是战地浪漫曲，而是降临在平民百姓头上血淋淋的残酷。影片的事件和恐怖场面远超过任何一部描写德军集中营的电影，令人毛骨悚然，提醒胆小和心软者慎看。
星球大战4：新希望,(1977),1977-05-25 (US),冒险、动作、科幻,2h 1m,82,英语,"{'乔治·卢卡斯': 'Director, Writer'}",很久以前，在一个遥远的银河系……莱娅公主被邪恶的帝国势力挟为人质，企图镇压反抗银河帝国的起义军。卢克·天行者与汉·索罗船长携手可爱的机器人搭档R2-D2和C-3PO，共同踏上拯救美丽公主、恢复银河系正义的征程。[20世纪福克斯]
妈咪,(2014),2014-09-19 (CA),剧情,2h 18m,82,法语,"{'泽维尔·多兰': 'Director, Screenplay'}",单亲妈妈戴安（安妮·杜尔瓦勒 Anne Dorval 饰）大大咧咧，抽烟喝酒满口脏话，有着一颗不服输的心。她独自抚养患有多动症、常做出暴力行为的儿子斯蒂夫（安托万-奥利弗·波尼安 Antoine-Olivier Pilon 饰），母子关系游走在爆炸的边缘。戴安担心斯蒂夫惹是生非，斯蒂夫迫切想表达对妈妈的爱。新邻居凯拉（苏珊娜·克莱蒙 Suzanne Clément 饰）适时出现，这位患有失语症的高中女教师充当了母子的缓冲阀，让三个人都开始看到平衡和希望。然而斯蒂夫以前暴力行为带来的后果正在发酵，戴安需要支付一大笔赔偿金。她决定出卖自己的幸福并且做出一个痛苦决定：将儿子送回医院接受治疗......  《妈咪》是加拿大年轻导演泽维尔·多兰执导的第五部剧情长片，与多兰五年前在戛纳导演双周单元惊艳亮相的处女作《我杀了我妈妈》构成对照，同样讲述单亲家庭中狂躁而又深刻、依赖而又隔膜的母子关系。但不同于《我杀了我妈妈》的高度自传属性，《妈咪》更加宽厚和温暖，情绪更加饱满，几乎可以看作是多兰为自己处女作年少轻狂做出的一份愧意表达。本片入围第67届戛纳电影节主竞赛单元，与《再见语言》并列评审团奖。
相助,(2011),2012-04-23 (CN),剧情,2h 26m,82,英语,"{'塔特·泰勒': 'Director, Screenplay', 'Kathryn Stockett': 'Novel'}",上世纪60年代，在密西西比州，黑佣艾比里恩（维奥拉•戴维斯 Viola Davis 饰）勤勤恳恳照顾女主人的女儿，后者因产后抑郁症只顾与闺蜜贪欢。密西西比大学毕业生斯基特（艾玛•斯通 Emma Stone 饰）在报社负责家庭主妇信箱，并由此开始黑佣的生存状态。其中，希利（布莱丝•达拉斯•霍华德 Bryce Dallas Howard 饰）无疑是反面教材，她态度傲慢，对黑佣米妮（奥克塔维亚•斯宾瑟 Octavia Spencer 饰）抱有偏见，并力主黑佣不能与主人共用厕所。最终因不堪受辱，米妮愤然离去，并以牙还牙，假借道歉之机让她蒙羞。斯基特开始采访艾比里恩和米妮，希望了解黑佣的生存状态，并为自己的新书积累素材。与此同时，马丁路德金领导的平权运动正在如火如荼地开展，而斯基特所在的密西西比州正是斗争的前沿，因为黑人遭射杀的血案，种族隔离开始，一场肤色之争在所难免……
福音战士新剧场版：终,(2021),2025-10-31 (CN),动画、动作、科幻、剧情,2h 34m,82,日语,"{'庵野秀明': 'Director, Screenplay', '中山胜一': 'Director', '前田真宏': 'Director', '鹤卷和哉': 'Director'}",葛城美里和她的反“NERV”组织WILLE到达因为地球核心化而呈赤红色的巴黎。船员从旗舰奇迹号上降落到一个密闭塔，他们只有720秒的时间来复原城市。此时多架“NERV”组织的福音战士出现，真希波驾驶福音战士8号机·改加以拦截。同时，碇真嗣、明日香和绫波零在日本附近徘徊。
闪灵,(1980),2026-01-30 (CN),恐怖、惊悚,2h 23m,82,英语,"{'斯坦利·库布里克': 'Director, Screenplay', '斯蒂芬·金': 'Novel', '黛安·约翰逊': 'Screenplay'}",杰克是一个作家。一个冬天，他得到了一个看管山顶酒店的差事。这正合杰克的意思，他正好可以有一个幽静的地方写作。于是杰克带着妻儿搬进了酒店。冬天大雪封路，山顶酒店只有杰克一家三口。从他们一搬进来，杰克的妻子温蒂就发现这里气氛诡异，杰克的儿子丹尼经常看到一些他不认识的人，但这里除了他们一家别无他人。而杰克除了一整天闷头写作外，脾气亦变得越来越古怪。直到有一天，温蒂发现丈夫这些天来一直写就只有一句话：杰克发疯了！
寻梦环游记,(2017),2017-11-22 (US),家庭、动画、音乐、冒险,1h 45m,82,英语,"{'李·昂克里奇': 'Director', '阿德里安·莫利纳': 'Screenplay', 'Matthew Aldrich': 'Screenplay'}",尽管家族世代对音乐有着令人费解的禁令，米格尔仍梦想成为偶像埃内斯托·德拉克里兹那样杰出的音乐家。急于证明自己的才华，米格尔因一连串神秘事件而误入绚丽多彩的亡灵之地。途中，他遇到了迷人的捣蛋鬼埃克托，两人携手踏上非凡旅程，揭晓米格尔家族历史背后尘封的真相。[迪士尼/皮克斯]
禁闭岛,(2010),2010-02-19 (US),剧情、惊悚、悬疑,2h 18m,82,英语,"{'马丁·斯科塞斯': 'Director', '丹尼斯·勒翰': 'Novel', '莱塔·卡罗格里迪斯': 'Screenplay'}",故事发生于波士顿海湾的一座与世隔绝的小岛上，66名精神病罪犯被关押于此，传言岛上正在进行种种人体实验。重重戒备之下，一个杀害了三个亲生孩子的女犯雷切尔，竟诡异失踪。联邦执法官泰德·丹尼尔和搭档查克奉命上岛调查此事。而泰德此行前来还有一个隐秘的目的——寻找让妻子 葬身火海的凶手。故事遵循这条线索展开，寻找失踪之谜、访问医院工作人员与病人、地毯式搜查……泰德查遍全岛，意外发现岛上多出一份神秘档案：第67号病人的 ！岛上所有秘密无不纠结于这个多出来的人。但究竟谁是67号？
黑暗正义联盟：天启星战争,(2020),2020-05-05 (US),动画、动作、冒险、奇幻,1h 30m,82,英语,"{'Mairghread Scott': 'Story, Teleplay', 'Steve Bissette': 'Characters', 'Bernie Wrightson': 'Characters', 'Jamie Delano': 'Characters', '鲍勃·凯恩': 'Characters', '乔·舒斯特': 'Characters', '布鲁斯·蒂姆': 'Characters', '加德纳·福克斯': 'Characters', '杰罗姆·西格尔': 'Characters', '比尔·芬格': 'Characters', 'John Totleben': 'Characters', '马文·沃尔夫曼': 'Characters', '丹尼·奥尼尔': 'Characters', '莱恩·韦恩': 'Characters', 'Murphy Anderson': 'Characters', '乔治·佩雷斯': 'Characters', 'Karl Kesel': 'Characters', '保罗·迪尼': 'Characters', '杰克·柯比': 'Characters', '威廉·莫尔顿·马斯顿': 'Characters', 'John Ridgway': 'Characters', '艾伦·摩尔': 'Characters', 'Matt Peters': 'Director', 'Christina Sotta': 'Director', 'Ernie Altbacker': 'Teleplay'}",在星际暴君达克赛德（Darkseid）摧毁正义联盟（Justice League）后，地球被毁灭了，这场战争是由DC超级英雄发动的。现在，正义联盟、少年泰坦、自杀小队和其他各色各样的好堡垒必须重新集结，制定战略，并将战争带到黑暗世界，以拯救地球及其幸存居民。
河狸变身计划,(2026),2026-03-20 (CN),冒险、动画、喜剧、家庭、科幻,1h 39m,82,英语,"{'丹尼尔·钟': 'Director, Story', '杰西·安德鲁斯': 'Screenplay, Story'}",梅宝是一位对动物世界充满好奇的年轻女孩，她利用先进的意识上传技术，将自己的思维注入一只机械河狸体内。以这种独特的形态，梅宝结识了河狸王国的乔治国王等动物伙伴。然而，一个由房地产开发计划带来的威胁，正试图破坏动物们的栖息地。梅宝与她的新朋友们联手，利用机械河狸的能力和人类的智慧，共同对抗这个危机，守护动物们的家园。
被解救的姜戈,(2012),2013-05-12 (CN),剧情、西部,2h 43m,82,英语,"{'昆汀·塔伦蒂诺': 'Director, Writer'}",姜戈是一名奴隶，他与前主人间那段饱受虐待的过往，让他最终与德裔赏金猎人金·舒尔茨医生狭路相逢。舒尔茨正在追踪杀人如麻的布里特尔兄弟，而只有姜戈能带他找到这帮悬赏目标。行事不循常规的舒尔茨赎下了姜戈，并承诺抓住布里特尔兄弟后——无论死活——便给予他自由。
血战钢锯岭,(2016),2016-12-08 (CN),剧情、历史、战争,2h 19m,82,英语,"{'梅尔·吉布森': 'Director', '罗伯特·申坎': 'Screenplay', '安德鲁·奈特': 'Screenplay'}",故事改编自二战上等兵军医戴斯蒙德·道斯的真实经历，他因为在冲绳岛战役中勇救75人生命而被授予美国国会荣誉勋章，同时也是首位获此荣誉的在战场上拒绝杀戮的医疗兵。
桃色公寓,(1960),1960-06-21 (US),喜剧、剧情、爱情,2h 5m,82,英语,"{'比利·怀尔德': 'Director, Writer', 'I. A. L. 戴蒙德': 'Writer'}",C. C. Baxter是纽约一个大公司的小职员，他的单身公寓经常被公司的高层们用去当作幽会的场所，Baxter也因此获得不少升迁的机会。Baxter暗恋着公司的电梯女郎Fran Kubelik，这天他终于鼓起勇气约了她晚上一起去看一出戏剧。然而Baxter等了一晚却未见Fran的踪影，原来Fran是公司的高管有妇之夫Jeffery Sheldrake的地下情人，那晚他们还在Baxter的公寓幽会。Jeffery信誓旦旦向Fran表示，他将和他的妻子离婚然后和她名正言顺地在一起。Fran相信了，然而几个星期后她又从Jeffery的上一任情人知晓了Jeffery所说的不过是个谎言。另一方面，在一个夜里，当Baxter回到他家的时候，意外地发现Fran竟倒在他的床上，并且服了很多安眠药企图自杀......  本片获1960年奥斯卡十项提名，赢得包括最佳导演、最佳影片在内的五项大奖。
BLACKPINK：照亮天空,(2020),2020-10-14 (US),纪录、音乐,1h 19m,82,朝鲜语,{'卡罗琳·萨': 'Director'},打破纪录的韩国女子团体 BLACKPINK 讲述她们的故事：不仅分享了为实现梦想而努力奋斗的人生旅程，还诉说了迅速走红背后所经受的试炼。
小姐,(2016),2016-06-01 (KR),惊悚、剧情、爱情,2h 25m,82,朝鲜语,"{'朴赞郁': 'Director, Writer', '萨拉·沃特斯': 'Novel', '郑瑞景': 'Writer'}",故事背景设定在1930年代日本占领时期的朝鲜。新人女仆淑熙受雇服侍日本贵族秀子，后者与专横的舅舅居住在一座偏僻的乡间大宅中。然而女仆怀揣秘密：她实为一名扒手，受假冒日本伯爵的骗子招募，企图助其引诱小姐私奔，夺取财产后将秀子关进疯人院。计划似乎顺利进行，直到淑熙与秀子之间萌生了意料之外的情愫。
神秘博士：博士之日,(2013),,,,82,英语,"{'Nick Hurran': 'Director', '史蒂文·莫法特': 'Writer'}",被列入世界吉尼斯纪录的最长科幻系列电视剧《神秘博士》将迎来第50周年的播放纪念。为了庆祝这部长寿电视剧的半百生日，英国广播公司BBC电视台制作了《神秘博士》特辑，不仅将在英国电视台和电影院同步播映，还将首次以3D形式与观众见面。
宇宙小子大电影,(2019),2019-08-26 (US),电视电影、动画、家庭、冒险、奇幻,1h 30m,82,英语,"{'瑞贝卡·舒格': 'Director, Writer', 'Matt Burnett': 'Writer', 'Joe Johnston': 'Writer', 'Kat Morris': 'Writer', 'Hilary Florido': 'Writer', 'Ian Jones-Quartey': 'Writer', 'Jack Pendarvis': 'Writer', 'Ben Levin': 'Writer'}",讲述史蒂文以为他保护地球的日子结束了，但新的反派来到沙滩市，史蒂文平静美丽的日子也完了，他遇到了人生中最大的挑战。
狼行者,(2020),2020-10-04 (IE),动画、家庭、冒险、奇幻,1h 42m,82,英语,"{'汤姆·摩尔': 'Director, Story', 'Ross Stewart': 'Director, Story', '威尔·柯林斯': 'Screenplay'}",在一个充满迷信与魔法的时代，年轻的见习猎人罗宾·古德费洛跟随父亲前往爱尔兰，奉命消灭最后一群野狼。在城墙外的禁忌之地探险时，罗宾结识了无拘无束的女孩梅芙——她来自一个神秘部落，传说其族人能在夜晚化身为狼。在寻找梅芙失踪母亲的过程中，罗宾逐渐揭开了惊人的秘密，她不仅更深地卷入狼行者的奇幻世界，更可能变成父亲奉命摧毁的存在。
我的母亲有话说,(2019),2019-12-26 (BR),喜剧,1h 50m,82,葡萄牙语,"{'Susana Garcia': 'Director, Screenplay', 'Paulo Gustavo': 'Screenplay', 'Fil Braz': 'Screenplay'}",Dona Hermínia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.
摇篮,(2024),2024-08-23 (US),剧情、家庭,2h 3m,82,英语,"{'亚历克斯·肯德里克': 'Director, Writer', '斯蒂芬·肯德里克': 'Writer'}",高中毕业后，以赛亚对未来没有任何规划，他受到激励，开始做出更好的人生决定。
发条橙,(1971),1971-12-19 (US),科幻、犯罪,2h 17m,82,英语,"{'斯坦利·库布里克': 'Director, Screenplay', '安东尼·伯吉斯': 'Novel'}",阿利斯是一位无恶不作的少年，他的特殊喜好是边听贝多芬的交响曲边奸淫女性，某次他进入一所别墅抢劫一番后，打残了该别墅的主人——一名小说家，并用特殊喜好蹂躏了其妻子。后来因为杀了一名单身女子，阿利斯入狱并接受了特殊的人格治疗，出狱后，他对淫乐之事产生彻底的厌倦。但当阿利斯回到家时，周围人群没改变对他的旧看法，在种种歧视的重压下，他跑到郊外一所别墅想喘口气，不想这所别墅正是他以前抢劫过的小说家的那所。而作为反政府组织首领的该小说家为了达到某种目的，软禁了阿利斯。当这件事暴露小说家被捕时，其手下为了对抗政府，扬言要把阿利斯恢复原来的性情，完全不理一旁的阿利斯大叫“我完全好了”。
泰勒·斯威夫特：“举世盛名”巡回演唱会,(2018),2018-12-31 (US),音乐,2h 5m,82,英语,{'保罗·达格代尔': 'Director'},您已读过头条，听过传闻，而现在她将用红唇唱出真相。泰勒·斯威夫特将赠予全世界观众近距离观赏“泰勒·斯威夫特的名誉体育场巡回演唱会”在美国最后一场表演的机会，该巡回演唱会是美国历史以来销售额最高的巡演，现在仅在 Netflix 上放映！这部传奇的演唱会电影将展示火焰特技、烟花、数个场景以及 63 英尺的眼镜蛇卡林。《泰勒·斯威夫特的名誉体育场巡回演唱会》将从 12 月 31 日起在 Netflix 上面向全球上线，您可以随处观看这场销售一空并追高清囊括 6 万人的表演——无论是在家庭聚会上，东区的酒吧里，还是在沙发上和猫一起看。无论如何，这都将是一个最佳的新年夜计划。你准备好了吗？
记忆碎片,(2000),2026-05-29 (CN),悬疑、惊悚,1h 53m,82,英语,"{'克里斯托弗·诺兰': 'Director, Screenplay'}",警方不予受理后，伦纳德·谢尔比执意追查强奸杀害妻子的凶手。然而，一种罕见且无法治愈的失忆症，使他踏上复仇之路难上加难。
对一个不容怀疑的公民的调查,(1970),1970-02-12 (IT),剧情、惊悚,1h 51m,82,意大利语,"{'Elio Petri': 'Director, Screenplay, Story', '乌戈·皮罗': 'Screenplay, Story'}",这位极具挑衅性的意大利电影导演埃利奥·佩特里在国际上最受赞誉的作品，便是这部荣获奥斯卡奖、令人震撼且直击人心的杰出惊悚片。在讲述一位罗马警探调查一桩令人发指的罪行——而凶手正是他自己——这一卡夫卡式故事时，佩特里巧妙维系了荒诞与写实间的平衡。影片既是对人物的深刻剖析，亦是对1960年代末至70年代初意大利政府高压镇压的尖锐评论。佩特里对超现实官僚体系的动态描摹，呈现出一幅反常又愉悦的受控混乱图景。[标准收藏]
黑帮悍将,(1993),1993-02-05 (US),犯罪、剧情、惊悚,3h 10m,82,英语,"{'泰勒·哈克福德': 'Director', 'Floyd Mutrux': 'Screenplay', 'Jimmy Santiago Baca': 'Screenplay', 'Jeremy Iacone': 'Screenplay', '罗斯·托马斯': 'Story'}",影片以诗人吉米·圣地亚哥·巴卡的真实生活经历为基础，重点讲述了帕科和克鲁兹的同父异母兄弟，以及他们的两个种族表兄米科。影片于1972年开拍，因为这三人是洛杉矶东部一个叫“瓦托斯机车”的团伙的成员，故事的重点是暴力犯罪和毒品的影响如何改变他们的生活。
异形,(1979),2016-04-16 (CN),恐怖、科幻,1h 57m,82,英语,"{'丹·欧班农': 'Screenplay, Story', '雷德利·斯科特': 'Director', '罗纳德·舒塞特': 'Story'}",未来的世界，人类已能轻松穿梭于星际之间，在太空中展开商业活动。“诺斯特罗莫”是在太空活动的众多星际商业运输船之一。一次，它完成任务满载太空矿石返航地球时，突然收到了一组奇怪的信号，由于这可能是求救信号，飞船接到指令前往信号源地进行搜救。经过一段飞行后，飞船终于抵达信号源发出的地方。船员们发现此处果然有一艘坠毁的飞船，只是，经过一番搜索，他们发现该船的船员们都早已死亡，化为化石。此时，留在“诺斯特罗莫”号的第三指挥官蕾普莉已经破译出该信号并不是求救信号，而是警告信号！队员的生死搏斗开始了！
我在雨中等你,(2019),2019-08-09 (US),剧情、爱情,1h 49m,82,英语,"{'西蒙·柯蒂斯': 'Director', '加斯·斯坦': 'Novel', '马克·邦巴克': 'Screenplay'}",影片改编自Garth Stein所著同名畅销小说，聚焦一只名叫恩佐的狗狗，和他的主人——职业赛车手Denny Swift，恩佐跟着Denny学会了很多生活哲学。
无知的声音,(2005),2005-01-28 (MX),剧情、战争,2h,82,西班牙语,"{'Luis Mandoki': 'Director, Writer', 'Oscar Orlando Torres': 'Writer'}",20世纪80年代伊始，位于中美洲北部的小国萨尔瓦多爆发长达12年的内战。政府军和游击队连年激战，人民流离失所，国家破败不堪。11岁的男孩恰瓦（Carlos Padilla 饰）和母亲、姊妹生活在一起，他的父亲背井离乡，杳无音信。家中的生活困苦不堪，死亡也随时威胁着他们。本该在学堂求学的恰瓦，却被迫成为了一名端着冲锋枪的娃娃兵。从此，死神成为这群懵懂孩童最亲密最恐怖的同行者……
